path,sha256,status,source_or_owner,release_action
assets/ambient/blood_worms.png,9fd128b3b01d95388dc0839be168c6ad254e6244ceea29581f86c1dfc83b10c8,TEMP_DEV_ONLY,Pre-existing project asset; provenance not established in repository,Replace with original or properly licensed production asset before public release
assets/ambient/rat_spriteSheet.png,485c52927198675f9e2c54fcb724ac6cd656c69f71484a2b1fcbeccd2eccbb6b,TEMP_DEV_ONLY,Pre-existing project asset; provenance not established in repository,Replace with original or properly licensed production asset before public release
assets/characters/adefonsus_spriteSheet.png,97bf470a0c8920cb62609714fbbe63cff887aeca633e80ecf2932fe75d386645,TEMP_DEV_ONLY,Pre-existing project asset; provenance not established in repository,Replace with original or properly licensed production asset before public release
assets/characters/preciosa_spriteSheet.png,ccaad6c0991c99201ceadb7f2460004b80ae6e7b090dcfc356f00da5c33673aa,TEMP_DEV_ONLY,User-supplied temporary development sheet; provenance not release-cleared,Replace with original or properly licensed production asset before public release
assets/effects/decals/bloodsplat1.png,5d96c7359adb533a61d849a35891d630ef07a5371c539613e1514a29ba7d2c5d,TEMP_DEV_ONLY,Pre-existing project asset; provenance not established in repository,Replace with original or properly licensed production asset before public release
assets/effects/decals/bloodsplat2.png,f72d16c05a1b50eea652dc091fdaba4d2c0962fc9d9e0da5c7809676d6eca1e5,TEMP_DEV_ONLY,Pre-existing project asset; provenance not established in repository,Replace with original or properly licensed production asset before public release
assets/effects/fire/universal_fire.png,efc8007113353ef98fe0ed54daff1c40bec82f382511c804cc351817bf4013c7,TEMP_DEV_ONLY,Pre-existing project asset; provenance not established in repository,Replace with original or properly licensed production asset before public release
assets/effects/gore/blood_effects_sheet.png,777fcdcd53a819d39718dd5539156aef544ea0db5af6e78d1211dd345f3cfe7e,TEMP_DEV_ONLY,Pre-existing project asset; provenance not established in repository,Replace with original or properly licensed production asset before public release
assets/effects/gore/foot.png,579566980eef2040f42e16b5b90dc1c730cf282c87111eb1c69cefa29d4d6290,TEMP_DEV_ONLY,Pre-existing project asset; provenance not established in repository,Replace with original or properly licensed production asset before public release
assets/effects/gore/gore_effects.png,4484592707730291bad2725316182b8f7511109661508e7da18b02c2c1e1dbc5,TEMP_DEV_ONLY,Pre-existing project asset; provenance not established in repository,Replace with original or properly licensed production asset before public release
assets/effects/gore/intestine.png,47c851974c99a1a0ccae140b6c1b92b13d3272bef2dfbc3e5bcd742053c7eae8,TEMP_DEV_ONLY,Pre-existing project asset; provenance not established in repository,Replace with original or properly licensed production asset before public release
assets/effects/gore/leg.png,93f509449c155fd30860b3e7b5821972ef72bd03f68553f843bc8d16d908f93c,TEMP_DEV_ONLY,Pre-existing project asset; provenance not established in repository,Replace with original or properly licensed production asset before public release
assets/effects/gore/liver.png,9a7426fee1adac7a42c137e0d550fc67fb080af011f05755b18f9b930238b6c6,TEMP_DEV_ONLY,Pre-existing project asset; provenance not established in repository,Replace with original or properly licensed production asset before public release
assets/effects/gore/ribcage.png,d12f007dda047858c4d85bdc61c5a28cd84d37053e6cc5c2e66384baa79bac29,TEMP_DEV_ONLY,Pre-existing project asset; provenance not established in repository,Replace with original or properly licensed production asset before public release
